zm,rama_id,industria,transable,pot_total
Zona metropolitana de Aguascalientes,3117,Preparación y envasado de pescados y mariscos,1,
Zona metropolitana de Aguascalientes,3118,Elaboración de productos de panadería y tortillas,1,4472
Zona metropolitana de Aguascalientes,3119,Otras industrias alimentarias,1,682
Zona metropolitana de Aguascalientes,3121,Industria de las bebidas,1,2430
Zona metropolitana de Aguascalientes,3122,Industria del tabaco,1,
Zona metropolitana de Aguascalientes,3131,"Preparación e hilado de fibras textiles, y fabricación de hilos",1,0
Zona metropolitana de Aguascalientes,3132,Fabricación de telas,1,1218
Zona metropolitana de Aguascalientes,3133,Acabado de productos textiles y fabricación de telas recubiertas,1,0
Zona metropolitana de Aguascalientes,3141,"Confección de alfombras, blancos y similares",1,1273
Zona metropolitana de Aguascalientes,3149,"Fabricación de otros productos textiles, excepto prendas de vestir",1,435
Zona metropolitana de Aguascalientes,3151,Fabricación de prendas de vestir de tejido de punto,1,0
Zona metropolitana de Aguascalientes,3152,Confección de prendas de vestir,1,5200
Zona metropolitana de Aguascalientes,3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,1,0
Zona metropolitana de Aguascalientes,3161,Curtido y acabado de cuero y piel,1,
Zona metropolitana de Aguascalientes,3162,Fabricación de calzado,1,0
Zona metropolitana de Aguascalientes,3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",1,0
Zona metropolitana de Aguascalientes,3211,Aserrado y conservación de la madera,1,0
Zona metropolitana de Aguascalientes,3212,Fabricación de laminados y aglutinados de madera,1,0
Zona metropolitana de Aguascalientes,3219,Fabricación de otros productos de madera,1,63
Zona metropolitana de Aguascalientes,3221,"Fabricación de pulpa, papel y cartón",1,0
Zona metropolitana de Aguascalientes,3222,Fabricación de productos de cartón y papel,1,389
Zona metropolitana de Aguascalientes,3231,Impresión e industrias conexas,1,1205
Zona metropolitana de Aguascalientes,3241,Fabricación de productos derivados del petróleo y del carbón,1,0
Zona metropolitana de Aguascalientes,3251,Fabricación de productos químicos básicos,1,0
Zona metropolitana de Aguascalientes,3252,"Fabricación de resinas y hules sintéticos, y fibras químicas",1,0
Zona metropolitana de Aguascalientes,3253,"Fabricación de fertilizantes, plaguicidas y otros agroquímicos",1,0
Zona metropolitana de Aguascalientes,3254,Fabricación de productos farmacéuticos,1,0
Zona metropolitana de Aguascalientes,3255,"Fabricación de pinturas, recubrimientos y adhesivos",1,0
Zona metropolitana de Aguascalientes,3256,"Fabricación de jabones, limpiadores y preparaciones de tocador",1,335
Zona metropolitana de Aguascalientes,3259,Fabricación de otros productos químicos,1,0
Zona metropolitana de Aguascalientes,3261,Fabricación de productos de plástico,1,2677
Zona metropolitana de Aguascalientes,3262,Fabricación de productos de hule,1,178
Zona metropolitana de Aguascalientes,3271,Fabricación de productos a base de arcillas y minerales refractarios,1,2021
Zona metropolitana de Aguascalientes,3272,Fabricación de vidrio y productos de vidrio,1,0
Zona metropolitana de Aguascalientes,3273,"Fabricación de cemento, concreto y sus productos",1,355
Zona metropolitana de Aguascalientes,3274,"Fabricación de cal, yeso y productos de yeso",1,0
Zona metropolitana de Aguascalientes,3279,Fabricación de otros productos a base de minerales no metálicos,1,139
Zona metropolitana de Aguascalientes,3311,Industria básica del hierro y del acero,1,0
Zona metropolitana de Aguascalientes,3312,Fabricación de productos de hierro y acero,1,0
Zona metropolitana de Aguascalientes,3313,Industria básica del aluminio,1,0
Zona metropolitana de Aguascalientes,3314,"Industrias de metales no ferrosos, excepto aluminio",1,0
Zona metropolitana de Aguascalientes,3315,Moldeo por fundición de piezas metálicas,1,255
Zona metropolitana de Aguascalientes,3321,Fabricación de productos metálicos forjados y troquelados,1,0
Zona metropolitana de Aguascalientes,3322,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,1,0
Zona metropolitana de Aguascalientes,3323,Fabricación de estructuras metálicas y productos de herrería,1,2145
Zona metropolitana de Aguascalientes,3324,"Fabricación de calderas, tanques y envases metálicos",1,84
Zona metropolitana de Aguascalientes,3325,Fabricación de herrajes y cerraduras,1,0
Zona metropolitana de Aguascalientes,3326,"Fabricación de alambre, productos de alambre y resortes",1,0
Zona metropolitana de Aguascalientes,3327,Maquinado de piezas y fabricación de tornillos,1,1569
Zona metropolitana de Aguascalientes,3328,Recubrimientos y terminados metálicos,1,452
Zona metropolitana de Aguascalientes,3329,Fabricación de otros productos metálicos,1,1178
Zona metropolitana de Aguascalientes,3331,"Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",1,104
Zona metropolitana de Aguascalientes,3332,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",1,0
Zona metropolitana de Aguascalientes,3333,Fabricación de maquinaria y equipo para el comercio y los servicios,1,0
Zona metropolitana de Aguascalientes,3334,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",1,0
Zona metropolitana de Aguascalientes,3335,Fabricación de maquinaria y equipo para la industria metalmecánica,1,0
Zona metropolitana de Aguascalientes,3336,"Fabricación de motores de combustión interna, turbinas y transmisiones",1,0
Zona metropolitana de Aguascalientes,3339,Fabricación de otra maquinaria y equipo para la industria en general,1,1718
Zona metropolitana de Aguascalientes,3341,Fabricación de computadoras y equipo periférico,1,0
Zona metropolitana de Aguascalientes,3342,Fabricación de equipo de comunicación,1,0
Zona metropolitana de Aguascalientes,3343,Fabricación de equipo de audio y de video,1,
Zona metropolitana de Aguascalientes,3344,Fabricación de componentes electrónicos,1,0
Zona metropolitana de Aguascalientes,3345,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",1,0
Zona metropolitana de Aguascalientes,3346,Fabricación y reproducción de medios magnéticos y ópticos,1,
Zona metropolitana de Aguascalientes,3351,Fabricación de accesorios de iluminación,1,0
Zona metropolitana de Aguascalientes,3352,Fabricación de aparatos eléctricos de uso doméstico,1,0
Zona metropolitana de Aguascalientes,3353,Fabricación de equipo de generación y distribución de energía eléctrica,1,0
Zona metropolitana de Aguascalientes,3359,Fabricación de otros equipos y accesorios eléctricos,1,0
Zona metropolitana de Aguascalientes,3361,Fabricación de automóviles y camiones,1,16224
Zona metropolitana de Aguascalientes,3362,Fabricación de carrocerías y remolques,1,0
Zona metropolitana de Aguascalientes,3363,Fabricación de partes para vehículos automotores,1,14991
Zona metropolitana de Aguascalientes,3364,Fabricación de equipo aeroespacial,1,
Zona metropolitana de Aguascalientes,3365,Fabricación de equipo ferroviario,1,
Zona metropolitana de Aguascalientes,3366,Fabricación de embarcaciones,1,
Zona metropolitana de Aguascalientes,3369,Fabricación de otro equipo de transporte,1,0
Zona metropolitana de Aguascalientes,3371,"Fabricación de muebles, excepto de oficina y estantería",1,833
Zona metropolitana de Aguascalientes,3372,Fabricación de muebles de oficina y estantería,1,0
Zona metropolitana de Aguascalientes,3379,"Fabricación de colchones, persianas y cortineros",1,0
Zona metropolitana de Aguascalientes,3391,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",1,123
Zona metropolitana de Aguascalientes,3399,Otras industrias manufactureras,1,440
Zona metropolitana de Aguascalientes,4311,Comercio al por mayor de abarrotes y alimentos,0,5061
Zona metropolitana de Aguascalientes,4312,"Comercio al por mayor de bebidas, hielo y tabaco",0,2349
Zona metropolitana de Aguascalientes,4321,Comercio al por mayor de productos textiles y calzado,0,0
Zona metropolitana de Aguascalientes,4331,Comercio al por mayor de productos farmacéuticos,0,307
Zona metropolitana de Aguascalientes,4332,"Comercio al por mayor de artículos de perfumería, cosméticos y joyería",0,0
Zona metropolitana de Aguascalientes,4333,"Comercio al por mayor de grabaciones de audio y video en medios físicos, juguetes y artículos deportivos",0,124
Zona metropolitana de Aguascalientes,4334,"Comercio al por mayor de artículos de papelería, libros, revistas y periódicos",0,0
Zona metropolitana de Aguascalientes,4335,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,0,0
Zona metropolitana de Aguascalientes,4341,Comercio al por mayor de materias primas agropecuarias y forestales,0,543
Zona metropolitana de Aguascalientes,4342,Comercio al por mayor de materias primas para la industria,0,4821
Zona metropolitana de Aguascalientes,4343,Comercio al por mayor de materiales de desecho,0,1723
Zona metropolitana de Aguascalientes,4351,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca",0,385
Zona metropolitana de Aguascalientes,4352,Comercio al por mayor de maquinaria y equipo para la industria,0,686
Zona metropolitana de Aguascalientes,4353,Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,0,794
Zona metropolitana de Aguascalientes,4354,"Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general",0,1144
Zona metropolitana de Aguascalientes,4361,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",0,1312
Zona metropolitana de Aguascalientes,4373,Intermediación de comercio al por mayor,0,0
Zona metropolitana de Aguascalientes,4611,Comercio al por menor de abarrotes y alimentos,0,20002
Zona metropolitana de Aguascalientes,4612,"Comercio al por menor de bebidas, hielo y tabaco",0,1679
Zona metropolitana de Aguascalientes,4621,Comercio al por menor en tiendas de autoservicio,0,0
Zona metropolitana de Aguascalientes,4622,Comercio al por menor en tiendas departamentales,0,0
Zona metropolitana de Aguascalientes,4631,"Comercio al por menor de productos textiles, excepto ropa",0,964
Zona metropolitana de Aguascalientes,4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir",0,5240
Zona metropolitana de Aguascalientes,4633,Comercio al por menor de calzado,0,846
Zona metropolitana de Aguascalientes,4641,Comercio al por menor de artículos para el cuidado de la salud,0,4630
Zona metropolitana de Aguascalientes,4651,Comercio al por menor de artículos de perfumería y joyería,0,1184
Zona metropolitana de Aguascalientes,4652,Comercio al por menor de artículos para el esparcimiento,0,1261
Zona metropolitana de Aguascalientes,4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos",0,2629
Zona metropolitana de Aguascalientes,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",0,2046
Zona metropolitana de Aguascalientes,4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,0,2140
Zona metropolitana de Aguascalientes,4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",0,1420
Zona metropolitana de Aguascalientes,4663,Comercio al por menor de artículos para la decoración de interiores,0,1129
Zona metropolitana de Aguascalientes,4664,Comercio al por menor de artículos usados,0,571
Zona metropolitana de Aguascalientes,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",0,6405
Zona metropolitana de Aguascalientes,4681,Comercio al por menor de automóviles y camionetas,0,2352
Zona metropolitana de Aguascalientes,4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",0,3427
Zona metropolitana de Aguascalientes,4683,Comercio al por menor de motocicletas y otros vehículos de motor,0,221
Zona metropolitana de Aguascalientes,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",0,3521
Zona metropolitana de Aguascalientes,4691,"Intermediación de comercio al por menor, y comercio al por menor a través de catálogos impresos, televisión y similares",0,29
Zona metropolitana de Aguascalientes,4811,Transporte aéreo regular,0,
Zona metropolitana de Aguascalientes,4812,Transporte aéreo no regular,0,
Zona metropolitana de Aguascalientes,4821,Transporte por ferrocarril,0,
Zona metropolitana de Aguascalientes,4831,Transporte marítimo,1,0
Zona metropolitana de Aguascalientes,4832,Transporte por aguas interiores,1,
Zona metropolitana de Aguascalientes,4841,Autotransporte de carga general,0,6037
Zona metropolitana de Aguascalientes,4842,Autotransporte de carga especializado,0,9207
Zona metropolitana de Aguascalientes,4851,Transporte colectivo urbano y suburbano de pasajeros de ruta fija,0,0
Zona metropolitana de Aguascalientes,4852,Transporte colectivo foráneo de pasajeros de ruta fija,0,0
Zona metropolitana de Aguascalientes,4853,Servicio de taxis y limusinas,0,0
Zona metropolitana de Aguascalientes,4854,Transporte escolar y de personal,0,0
Zona metropolitana de Aguascalientes,4855,Alquiler de autobuses con chofer,0,143
Zona metropolitana de Aguascalientes,4859,Otro transporte terrestre de pasajeros,0,0
Zona metropolitana de Aguascalientes,4862,Transporte de gas natural por ductos,0,0
Zona metropolitana de Aguascalientes,4869,Transporte por ductos de otros productos,0,
Zona metropolitana de Aguascalientes,4871,Transporte turístico por tierra,1,
Zona metropolitana de Aguascalientes,4872,Transporte turístico por agua,1,
Zona metropolitana de Aguascalientes,4879,Otro transporte turístico,1,
Zona metropolitana de Aguascalientes,4881,Servicios relacionados con el transporte aéreo,0,0
Zona metropolitana de Aguascalientes,4882,Servicios relacionados con el transporte por ferrocarril,0,
Zona metropolitana de Aguascalientes,4883,Servicios relacionados con el transporte por agua,0,0
Zona metropolitana de Aguascalientes,4884,Servicios relacionados con el transporte por carretera,0,113
Zona metropolitana de Aguascalientes,4885,Servicios de intermediación para el transporte de carga,0,1586
Zona metropolitana de Aguascalientes,4889,Otros servicios relacionados con el transporte,0,0
Zona metropolitana de Aguascalientes,4911,Servicios postales,0,0
Zona metropolitana de Aguascalientes,4921,Servicios de mensajería y paquetería foránea,0,0
Zona metropolitana de Aguascalientes,4922,Servicios de mensajería y paquetería local,0,0
Zona metropolitana de Aguascalientes,4931,Servicios de almacenamiento,0,0
Zona metropolitana de Aguascalientes,5121,Industria fílmica y del video,1,0
Zona metropolitana de Aguascalientes,5122,Industria del sonido,1,
Zona metropolitana de Aguascalientes,5131,"Edición de periódicos, revistas, libros, directorios y otros materiales",0,263
Zona metropolitana de Aguascalientes,5132,Edición de software,1,
Zona metropolitana de Aguascalientes,5161,Estaciones de transmisión de programas de radio y televisión,0,0
Zona metropolitana de Aguascalientes,5162,"Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido",0,0
Zona metropolitana de Aguascalientes,5173,Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,0,0
Zona metropolitana de Aguascalientes,5174,Operadores de servicios de telecomunicaciones vía satélite,0,0
Zona metropolitana de Aguascalientes,5179,Otros servicios de telecomunicaciones,0,830
Zona metropolitana de Aguascalientes,5182,"Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",1,0
Zona metropolitana de Aguascalientes,5192,"Bibliotecas, archivos, portales de búsqueda en la red y otros servicios de suministro de información",0,0
Zona metropolitana de Aguascalientes,5211,Banca central,0,
Zona metropolitana de Aguascalientes,5221,Banca múltiple,0,
Zona metropolitana de Aguascalientes,5222,Instituciones financieras de fomento económico,0,
Zona metropolitana de Aguascalientes,5223,Uniones de crédito e instituciones de ahorro,0,0
Zona metropolitana de Aguascalientes,5224,Otras instituciones de intermediación crediticia y financiera no bursátil,0,0
Zona metropolitana de Aguascalientes,5225,Servicios relacionados con la intermediación crediticia no bursátil,0,
Zona metropolitana de Aguascalientes,5231,"Casas de bolsa, casas de cambio y centros cambiarios",0,0
Zona metropolitana de Aguascalientes,5232,Bolsa de valores,0,
Zona metropolitana de Aguascalientes,5239,Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,0,
Zona metropolitana de Aguascalientes,5241,Compañías de seguros y fianzas,0,
Zona metropolitana de Aguascalientes,5242,"Servicios relacionados con los seguros y las fianzas, y administración de fondos para el retiro",0,0
Zona metropolitana de Aguascalientes,5311,Alquiler sin intermediación de bienes raíces,0,1265
Zona metropolitana de Aguascalientes,5312,Inmobiliarias y corredores de bienes raíces,0,911
Zona metropolitana de Aguascalientes,5313,Servicios relacionados con los servicios inmobiliarios,0,666
Zona metropolitana de Aguascalientes,5321,"Alquiler de automóviles, camiones y otros transportes terrestres",0,0
Zona metropolitana de Aguascalientes,5322,Alquiler de artículos para el hogar y personales,0,471
Zona metropolitana de Aguascalientes,5323,Centros generales de alquiler,0,13
Zona metropolitana de Aguascalientes,5324,"Alquiler de maquinaria y equipo agropecuario, pesquero, industrial, comercial y de servicios",0,383
Zona metropolitana de Aguascalientes,5331,"Servicios de alquiler de marcas registradas, patentes y franquicias",0,0
Zona metropolitana de Aguascalientes,5411,Servicios legales,0,2498
Zona metropolitana de Aguascalientes,5412,"Servicios de contabilidad, auditoría y servicios relacionados",0,1428
Zona metropolitana de Aguascalientes,5413,"Servicios de arquitectura, ingeniería y actividades relacionadas",0,1280
Zona metropolitana de Aguascalientes,5414,Diseño especializado,0,478
Zona metropolitana de Aguascalientes,5415,Servicios de diseño de sistemas de cómputo y servicios relacionados,0,0
Zona metropolitana de Aguascalientes,5416,"Servicios de consultoría administrativa, científica y técnica",0,1364
Zona metropolitana de Aguascalientes,5417,Servicios de investigación científica y desarrollo,0,0
Zona metropolitana de Aguascalientes,5418,Servicios de publicidad y actividades relacionadas,0,828
Zona metropolitana de Aguascalientes,5419,"Otros servicios profesionales, científicos y técnicos",0,696
Zona metropolitana de Aguascalientes,5511,Dirección y administración de grupos empresariales o corporativos,0,
Zona metropolitana de Aguascalientes,5611,Servicios de administración de negocios,0,0
Zona metropolitana de Aguascalientes,5612,Servicios integrales de apoyo a los negocios en instalaciones,0,73
Zona metropolitana de Aguascalientes,5613,Servicios de empleo,0,0
Zona metropolitana de Aguascalientes,5614,"Servicios de apoyo secretarial, fotocopiado, cobranza, investigación crediticia y similares",0,1869
Zona metropolitana de Aguascalientes,5615,Agencias de viajes y servicios de reservaciones,0,838
Zona metropolitana de Aguascalientes,5616,"Servicios de investigación, protección y seguridad",0,3665
Zona metropolitana de Aguascalientes,5617,Servicios de limpieza,0,1712
Zona metropolitana de Aguascalientes,5619,Otros servicios de apoyo a los negocios,0,69
Zona metropolitana de Aguascalientes,5621,Recolección de residuos,0,0
Zona metropolitana de Aguascalientes,5622,Tratamiento y disposición final de residuos,0,0
Zona metropolitana de Aguascalientes,5629,"Servicios de remediación, recuperación, y otros servicios de manejo de residuos",0,0
Zona metropolitana de Aguascalientes,6111,"Escuelas de educación básica, media y para necesidades especiales",0,5471
Zona metropolitana de Aguascalientes,6112,Escuelas de educación técnica superior,0,0
Zona metropolitana de Aguascalientes,6113,Escuelas de educación superior,0,0
Zona metropolitana de Aguascalientes,6114,"Escuelas comerciales, de computación y de capacitación para ejecutivos",0,0
Zona metropolitana de Aguascalientes,6115,Escuelas de oficios,0,0
Zona metropolitana de Aguascalientes,6116,Otros servicios educativos,0,1425
Zona metropolitana de Aguascalientes,6117,Servicios de apoyo a la educación,0,0
Zona metropolitana de Aguascalientes,6211,Consultorios médicos,0,2238
Zona metropolitana de Aguascalientes,6212,Consultorios dentales,0,1822
Zona metropolitana de Aguascalientes,6213,Otros consultorios para el cuidado de la salud,0,1724
Zona metropolitana de Aguascalientes,6214,Centros para la atención de pacientes que no requieren hospitalización,0,243
Zona metropolitana de Aguascalientes,6215,Laboratorios médicos y de diagnóstico,0,1067
Zona metropolitana de Aguascalientes,6216,Servicios de enfermería a domicilio,0,0
Zona metropolitana de Aguascalientes,6219,"Servicios de ambulancias, de bancos de órganos y otros servicios auxiliares al tratamiento médico",0,0
Zona metropolitana de Aguascalientes,6221,Hospitales generales,0,0
Zona metropolitana de Aguascalientes,6222,Hospitales psiquiátricos y para el tratamiento por adicción,0,
Zona metropolitana de Aguascalientes,6223,Hospitales de otras especialidades médicas,0,0
Zona metropolitana de Aguascalientes,6231,"Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",0,0
Zona metropolitana de Aguascalientes,6232,"Residencias para el cuidado de personas con problemas de retardo mental, trastorno mental y adicciones",0,136
Zona metropolitana de Aguascalientes,6233,Asilos y otras residencias para el cuidado de ancianos,0,0
Zona metropolitana de Aguascalientes,6239,Orfanatos y otras residencias de asistencia social,0,79
Zona metropolitana de Aguascalientes,6241,Servicios de orientación y trabajo social,0,792
Zona metropolitana de Aguascalientes,6242,"Servicios comunitarios de alimentación, refugio y emergencia",0,0
Zona metropolitana de Aguascalientes,6243,"Servicios de capacitación para el trabajo para personas desempleadas, subempleadas o con discapacidad",0,0
Zona metropolitana de Aguascalientes,6244,Guarderías,0,996
Zona metropolitana de Aguascalientes,7111,Compañías y grupos de espectáculos artísticos y culturales,0,0
Zona metropolitana de Aguascalientes,7112,Deportistas y equipos deportivos profesionales,0,163
Zona metropolitana de Aguascalientes,7113,"Promotores de espectáculos artísticos, culturales, deportivos y similares",0,214
Zona metropolitana de Aguascalientes,7114,"Agentes y representantes de artistas, deportistas y similares",0,
Zona metropolitana de Aguascalientes,7115,"Artistas, escritores y técnicos independientes",0,0
Zona metropolitana de Aguascalientes,7121,"Museos, sitios históricos, zoológicos y similares",0,0
Zona metropolitana de Aguascalientes,7131,Parques con instalaciones recreativas y casas de juegos electrónicos,0,0
Zona metropolitana de Aguascalientes,7132,"Casinos, loterías y otros juegos de azar",0,0
Zona metropolitana de Aguascalientes,7139,Otros servicios recreativos,0,1846
Zona metropolitana de Aguascalientes,7211,"Hoteles, moteles y similares",1,0
Zona metropolitana de Aguascalientes,7212,Campamentos y albergues recreativos,0,
Zona metropolitana de Aguascalientes,7213,"Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",0,0
Zona metropolitana de Aguascalientes,7223,Servicios de preparación de alimentos por encargo,0,730
Zona metropolitana de Aguascalientes,7224,"Centros nocturnos, bares, cantinas y similares",0,1891
Zona metropolitana de Aguascalientes,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,1,28095
Zona metropolitana de Aguascalientes,8111,Reparación y mantenimiento de automóviles y camiones,0,7273
Zona metropolitana de Aguascalientes,8112,Reparación y mantenimiento de equipo electrónico y de equipo de precisión,0,852
Zona metropolitana de Aguascalientes,8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",0,1351
Zona metropolitana de Aguascalientes,8114,Reparación y mantenimiento de artículos para el hogar y personales,0,1778
Zona metropolitana de Aguascalientes,8121,"Salones y clínicas de belleza, baños públicos y bolerías",0,5257
Zona metropolitana de Aguascalientes,8122,Lavanderías y tintorerías ,0,978
Zona metropolitana de Aguascalientes,8123,Servicios funerarios y administración de cementerios ,0,707
Zona metropolitana de Aguascalientes,8124,Estacionamientos y pensiones para vehículos automotores ,0,623
Zona metropolitana de Aguascalientes,8129,Servicios de revelado e impresión de fotografías y otros servicios personales ,0,225
Zona metropolitana de Aguascalientes,8131,"Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas ",0,453
Zona metropolitana de Aguascalientes,8132,"Asociaciones y organizaciones religiosas, políticas y civiles ",0,586
Zona metropolitana de Tijuana,1125,Acuicultura,1,
Zona metropolitana de Tijuana,1141,Pesca,1,0
Zona metropolitana de Tijuana,1151,Servicios relacionados con la agricultura,0,0
Zona metropolitana de Tijuana,1152,Servicios relacionados con la cría y explotación de animales,0,
Zona metropolitana de Tijuana,1153,Servicios relacionados con el aprovechamiento forestal,0,
Zona metropolitana de Tijuana,2111,Extracción de petróleo y gas,0,
Zona metropolitana de Tijuana,2121,Minería de carbón mineral,1,
Zona metropolitana de Tijuana,2122,Minería de minerales metálicos,1,
Zona metropolitana de Tijuana,2123,Minería de minerales no metálicos,1,0
Zona metropolitana de Tijuana,2131,Servicios relacionados con la minería,0,
Zona metropolitana de Tijuana,2211,"Generación, transmisión, distribución y comercialización de energía eléctrica",0,
Zona metropolitana de Tijuana,2212,Suministro de gas natural por ductos al consumidor final,0,
Zona metropolitana de Tijuana,2213,"Captación, tratamiento y suministro de agua",0,0
Zona metropolitana de Tijuana,2361,Edificación residencial,0,2172
Zona metropolitana de Tijuana,2362,Edificación no residencial,0,3924
Zona metropolitana de Tijuana,2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",0,523
Zona metropolitana de Tijuana,2372,División de terrenos y construcción de obras de urbanización,0,1092
Zona metropolitana de Tijuana,2373,Construcción de vías de comunicación,0,0
Zona metropolitana de Tijuana,2379,Otras construcciones de ingeniería civil,0,0
Zona metropolitana de Tijuana,2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",0,226
Zona metropolitana de Tijuana,2382,Instalaciones y equipamiento en construcciones,0,1385
Zona metropolitana de Tijuana,2383,Trabajos de acabados en edificaciones,0,128
Zona metropolitana de Tijuana,2389,Otros trabajos especializados para la construcción,0,190
Zona metropolitana de Tijuana,3111,Elaboración de alimentos balanceados para animales,1,0
Zona metropolitana de Tijuana,3112,Molienda de granos y de semillas y obtención de aceites y grasas,1,0
Zona metropolitana de Tijuana,3113,"Elaboración de azúcares, chocolates, dulces y similares",1,0
Zona metropolitana de Tijuana,3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",1,73
Zona metropolitana de Tijuana,3115,Elaboración de productos lácteos,1,1006
Zona metropolitana de Tijuana,3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",1,1184
Zona metropolitana de Tijuana,3117,Preparación y envasado de pescados y mariscos,1,0
Zona metropolitana de Tijuana,3118,Elaboración de productos de panadería y tortillas,1,5742
Zona metropolitana de Tijuana,3119,Otras industrias alimentarias,1,1622
Zona metropolitana de Tijuana,3121,Industria de las bebidas,1,4290
Zona metropolitana de Tijuana,3122,Industria del tabaco,1,322
Zona metropolitana de Tijuana,3131,"Preparación e hilado de fibras textiles, y fabricación de hilos",1,0
Zona metropolitana de Tijuana,3132,Fabricación de telas,1,0
