zm,rama_id,industria,transable,pot_total
Zona metropolitana de Aguascalientes,1125,Acuicultura,1,0
Zona metropolitana de Aguascalientes,1141,Pesca,1,0
Zona metropolitana de Aguascalientes,1151,Servicios relacionados con la agricultura,0,0
Zona metropolitana de Aguascalientes,1152,Servicios relacionados con la cría y explotación de animales,0,0
Zona metropolitana de Aguascalientes,1153,Servicios relacionados con el aprovechamiento forestal,0,
Zona metropolitana de Aguascalientes,2111,Extracción de petróleo y gas,0,
Zona metropolitana de Aguascalientes,2121,Minería de carbón mineral,1,
Zona metropolitana de Aguascalientes,2122,Minería de minerales metálicos,1,
Zona metropolitana de Aguascalientes,2123,Minería de minerales no metálicos,1,0
Zona metropolitana de Aguascalientes,2131,Servicios relacionados con la minería,0,0
Zona metropolitana de Aguascalientes,2211,"Generación, transmisión, distribución y comercialización de energía eléctrica",0,0
Zona metropolitana de Aguascalientes,2212,Suministro de gas natural por ductos al consumidor final,0,
Zona metropolitana de Aguascalientes,2213,"Captación, tratamiento y suministro de agua",0,0
Zona metropolitana de Aguascalientes,2361,Edificación residencial,0,2824
Zona metropolitana de Aguascalientes,2362,Edificación no residencial,0,2594
Zona metropolitana de Aguascalientes,2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",0,0
Zona metropolitana de Aguascalientes,2372,División de terrenos y construcción de obras de urbanización,0,0
Zona metropolitana de Aguascalientes,2373,Construcción de vías de comunicación,0,0
Zona metropolitana de Aguascalientes,2379,Otras construcciones de ingeniería civil,0,
Zona metropolitana de Aguascalientes,2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",0,0
Zona metropolitana de Aguascalientes,2382,Instalaciones y equipamiento en construcciones,0,641
Zona metropolitana de Aguascalientes,2383,Trabajos de acabados en edificaciones,0,97
Zona metropolitana de Aguascalientes,2389,Otros trabajos especializados para la construcción,0,0
Zona metropolitana de Aguascalientes,3111,Elaboración de alimentos balanceados para animales,1,0
Zona metropolitana de Aguascalientes,3112,Molienda de granos y de semillas y obtención de aceites y grasas,1,0
Zona metropolitana de Aguascalientes,3113,"Elaboración de azúcares, chocolates, dulces y similares",1,82
Zona metropolitana de Aguascalientes,3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",1,3177
Zona metropolitana de Aguascalientes,3115,Elaboración de productos lácteos,1,3327
Zona metropolitana de Aguascalientes,3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",1,2528
